"method","cluster","median_log2FC","mean_neglog10FDR","specificity","n_top","n_sig_markers","Dataset"
"Baysor",0,2.57674725069724,300,NA,20,38,"Dataset 2"
"Baysor",1,1.73328381678762,255.546616926908,NA,20,25,"Dataset 2"
"Baysor",10,3.48753079161032,277.430140505176,NA,20,63,"Dataset 2"
"Baysor",2,3.20725649493542,300,NA,20,34,"Dataset 2"
"Baysor",3,3.98134112628813,300,NA,20,47,"Dataset 2"
"Baysor",4,4.55332383830555,300,NA,20,45,"Dataset 2"
"Baysor",5,2.95904637211319,300,NA,20,38,"Dataset 2"
"Baysor",6,3.37136123173338,300,NA,20,72,"Dataset 2"
"Baysor",7,1.54772469659678,170.036827924938,NA,20,45,"Dataset 2"
"Baysor",8,1.56787297728095,116.659811045202,NA,20,48,"Dataset 2"
"Baysor",9,5.85339479963111,287.29478203517,NA,20,58,"Dataset 2"
"Scanpy",0,-2.24385547637939,-27.757489406242,NA,20,-10,"Dataset 2"
"Scanpy",1,-1.37687563896179,-0.5526441434465,NA,4,11,"Dataset 2"
"Scanpy",10,-1.59703767299652,144.803233334299,NA,20,105,"Dataset 2"
"Scanpy",2,-4.39527000114322,239.946105290829,NA,20,-13,"Dataset 2"
"Scanpy",3,-2.07239365577698,110.57278333583,NA,20,33,"Dataset 2"
"Scanpy",4,0.3638743,172.348144150457,NA,20,44,"Dataset 2"
"Scanpy",5,1.08170665,470.601984469924,NA,20,104,"Dataset 2"
"Scanpy",6,1.33161855,511.070071575337,NA,20,46,"Dataset 2"
"Scanpy",7,1.4593245,404.691084250767,NA,20,38,"Dataset 2"
"Scanpy",8,0.5368308,350.380283876572,NA,20,49,"Dataset 2"
"Scanpy",9,0.0230900999999999,384.79457255926,NA,20,35,"Dataset 2"
"Segmap",0,4.1116259,562.342909414979,NA,20,86,"Dataset 2"
"Segmap",1,4.40133955,551.160101132124,NA,20,86,"Dataset 2"
"Segmap",10,2.8859348,804.485266036415,NA,20,74,"Dataset 2"
"Segmap",2,2.02257775,214.665586260808,NA,20,85,"Dataset 2"
"Segmap",3,1.20013905,460.048045466762,NA,20,42,"Dataset 2"
"Segmap",4,3.28799915,336.066393583483,NA,20,103,"Dataset 2"
"Segmap",5,4.8993767,427.523800610295,NA,20,117,"Dataset 2"
"Segmap",6,3.5409269,286.867160357742,NA,20,72,"Dataset 2"
"Segmap",7,3.93044195,290.679204185184,NA,20,66,"Dataset 2"
"Segmap",8,4.78517245,304.300503290743,NA,20,101,"Dataset 2"
"Segmap",9,2.32295575,NA,NA,20,95,"Dataset 2"
"Seurat",1,2.33919722544163,300,NA,20,33,"Dataset 2"
"Seurat",10,5.17071647836922,268.038374709884,NA,20,60,"Dataset 2"
"Seurat",11,3.10059894412186,154.414865233131,NA,20,67,"Dataset 2"
"Seurat",2,3.93761200814948,294.277386625357,NA,20,70,"Dataset 2"
"Seurat",3,3.33240044653449,300,NA,20,69,"Dataset 2"
"Seurat",4,2.80456912262594,300,NA,20,80,"Dataset 2"
"Seurat",5,0.880375296198507,263.217194549259,NA,20,75,"Dataset 2"
"Seurat",6,2.81304364348684,293.197577453252,NA,20,54,"Dataset 2"
"Seurat",7,2.94037801149682,284.438431899963,NA,20,70,"Dataset 2"
"Seurat",8,3.98849930937894,295.908853674194,NA,20,106,"Dataset 2"
"Seurat",9,2.66309126223206,220.840143814299,NA,20,88,"Dataset 2"
