"method","gene","moran","pval"
"Seurat","ACE",0.149467874353794,0
"Seurat","ACE2",0.0749660890886656,0
"Seurat","ACKR1",0.325361248060816,0
"Seurat","ADAM17",0.0297730031040487,1.49528140384584e-154
"Seurat","ADAM28",0.200501331198364,0
"Seurat","ADAMTS1",0.362431722336215,0
"Seurat","ADGRL4",0.114893939955055,0
"Seurat","AGER",0.43892113927228,0
"Seurat","AGR3",0.673667618165487,0
"Seurat","AIF1",0.248421277735178,0
"Seurat","ANPEP",0.142659298175317,0
"Seurat","APOD",0.418864495675797,0
"Seurat","APOLD1",0.170355567285948,0
"Seurat","AQP9",0.149729901511014,0
"Seurat","AREG",0.169371223376469,0
"Seurat","ARL14",0.0054093844849926,7.45440747989366e-07
"Seurat","ASCL1",0.370376479193833,0
"Seurat","ASCL2",0.0116766796978648,1.51880866845374e-25
"Seurat","ASCL3",0.0347020780653265,9.75565362673861e-221
"Seurat","ATP1B1",0.39961458594833,0
"Seurat","BAIAP2L1",0.218617516972322,0
"Seurat","BANK1",0.261346857979389,0
"Seurat","BCAS1",0.111181304455986,0
"Seurat","BMX",0.133160117222447,0
"Seurat","CA4",0.129143841640217,0
"Seurat","CCDC78",0.554707307056004,0
"Seurat","CCNA1",0.171947305424558,0
"Seurat","CCNB2",0.0987350358812409,0
"Seurat","CCR7",0.256315814205889,0
"Seurat","CD14",0.180930299936542,0
"Seurat","CD163",0.161137193230037,0
"Seurat","CD19",0.197746462995876,0
"Seurat","CD1A",0.0852899746589969,0
"Seurat","CD1C",0.104638308245316,0
"Seurat","CD2",0.243394216343085,0
"Seurat","CD24",0.554871300699425,0
"Seurat","CD247",0.102625999160251,0
"Seurat","CD27",0.141541356860779,0
"Seurat","CD274",0.104436393889908,0
"Seurat","CD28",0.177447631647366,0
"Seurat","CD300E",0.0776885636266119,0
"Seurat","CD34",0.127998103145782,0
"Seurat","CD38",0.169929881885259,0
"Seurat","CD3D",0.175428255838445,0
"Seurat","CD3E",0.255595595255654,0
"Seurat","CD4",0.162371379983441,0
"Seurat","CD40",0.0358985745081204,1.31776257695452e-223
"Seurat","CD40LG",0.125698755732298,0
"Seurat","CD68",0.315357364770845,0
"Seurat","CD70",-0.000136385035034534,0.547463437537712
"Seurat","CD79A",0.295622936217576,0
"Seurat","CD80",0.0649116047051432,0
"Seurat","CD86",0.124973373072437,0
"Seurat","CD8A",0.122877464191919,0
"Seurat","CD8B",0.0345735044427959,1.29311716046254e-207
"Seurat","CDH1",0.628129361990711,0
"Seurat","CDK1",0.105047751993221,0
"Seurat","CENPF",0.105394784128252,0
"Seurat","CFB",0.309306531262994,0
"Seurat","CFTR",0.136996209964222,0
"Seurat","CHIT1",0.50091871967599,0
"Seurat","CLDN5",0.11001796819105,0
