"metric","Method","point","ci_low","ci_high","Dataset"
"median_moran","Baysor",0.127700974453601,0.115143721523389,0.142476719938629,"Dataset 4"
"median_moran","Scanpy",0.156103752292294,0.138681744861847,0.169493819588456,"Dataset 4"
"median_moran","Segmap",0.191246476461946,0.174329834939313,0.210784471536187,"Dataset 4"
"median_moran","Seurat",0.144223272877596,0.129729900434615,0.161829777668436,"Dataset 4"
"pct_sig_moran","Baysor",99.3124567474046,98.2698961937716,100,"Dataset 4"
"pct_sig_moran","Scanpy",100,100,100,"Dataset 4"
"pct_sig_moran","Segmap",100,100,100,"Dataset 4"
"pct_sig_moran","Seurat",97.1975694444443,94.7916666666667,98.9583333333333,"Dataset 4"
"sp_magnitude","Baysor",0.473870411661781,0.464933983779085,0.483949417762637,"Dataset 4"
"sp_magnitude","Scanpy",0.493662251375376,0.483209046917108,0.501696291753074,"Dataset 4"
"sp_magnitude","Segmap",0.514747885877167,0.504597900963588,0.526470682921712,"Dataset 4"
"sp_magnitude","Seurat",0.475324241504335,0.462151550009531,0.488860894806107,"Dataset 4"
