"scheme","Method","Overall","Overall_rank","Dataset"
"as_specified","Segmap",0.5625,1,"Dataset 1"
"as_specified","Scanpy",0.520833333333333,2,"Dataset 1"
"as_specified","Seurat",0.479166666666667,3,"Dataset 1"
"as_specified","Baysor",0.4375,4,"Dataset 1"
"de_heavy","Segmap",0.5875,1,"Dataset 1"
"de_heavy","Scanpy",0.529166666666667,2,"Dataset 1"
"de_heavy","Seurat",0.470833333333333,3,"Dataset 1"
"de_heavy","Baysor",0.4125,4,"Dataset 1"
"equal","Segmap",0.5625,1,"Dataset 1"
"equal","Scanpy",0.520833333333333,2,"Dataset 1"
"equal","Seurat",0.479166666666667,3,"Dataset 1"
"equal","Baysor",0.4375,4,"Dataset 1"
"sp_heavy","Segmap",0.5375,1,"Dataset 1"
"sp_heavy","Scanpy",0.5125,2,"Dataset 1"
"sp_heavy","Seurat",0.4875,3,"Dataset 1"
"sp_heavy","Baysor",0.4625,4,"Dataset 1"
