"group","names"
0,"LTBP2"
0,"ADAMTS1"
0,"SLIT3"
0,"FBN1"
0,"MYH11"
0,"PDGFRB"
0,"CNN1"
0,"SVEP1"
0,"PDGFRA"
0,"NID1"
1,"AQP9"
1,"PI3"
1,"PLN"
1,"MYH11"
1,"S100A12"
1,"TCL1A"
1,"S100A7"
1,"WT1"
1,"FOXI1"
1,"LILRA5"
2,"CD2"
2,"IL7R"
2,"CD3E"
2,"CD3D"
2,"FCMR"
2,"STAT4"
2,"CTLA4"
2,"CD28"
2,"CD247"
2,"LCK"
3,"VWF"
3,"PLVAP"
3,"SHANK3"
3,"ECSCR"
3,"CD34"
3,"GNG11"
3,"APOLD1"
3,"ADGRL4"
3,"SELP"
3,"MYC"
4,"AIF1"
4,"CD68"
4,"FCGR3A"
4,"MS4A4A"
4,"CD14"
4,"CD163"
4,"GPR183"
4,"HAVCR2"
4,"CD4"
4,"MPEG1"
5,"MZB1"
5,"SEC11C"
5,"PIM2"
5,"POU2AF1"
5,"DNAJB9"
5,"CD79A"
5,"CD38"
5,"FKBP11"
5,"TNFRSF17"
5,"GLCCI1"
6,"EPCAM"
6,"CDH1"
6,"MUC1"
6,"TMPRSS2"
6,"AGR3"
6,"LGALS3BP"
6,"ATP1B1"
6,"CTTN"
6,"CD24"
6,"EGFR"
7,"MS4A1"
7,"TNFRSF13C"
7,"BANK1"
7,"FCMR"
7,"IRF8"
7,"CD19"
7,"CD79A"
7,"SELL"
7,"ADAM28"
7,"POU2AF1"
8,"AGER"
8,"SCEL"
8,"KRT7"
8,"SEMA3B"
8,"DAPK2"
8,"TACSTD2"
8,"F3"
8,"WFS1"
8,"PEBP4"
8,"ELF3"
9,"SHANK3"
9,"FCN3"
9,"VWF"
9,"TMEM100"
9,"IL7R"
9,"GNG11"
9,"AGER"
9,"ECSCR"
9,"IL1RL1"
9,"ACE"
10,"SFTPD"
10,"DMBT1"
10,"PEBP4"
10,"F3"
10,"STEAP4"
10,"MUC1"
10,"MALL"
10,"HMGCS1"
10,"AREG"
10,"ETV5"
11,"EHF"
11,"F3"
11,"CD24"
11,"ELF3"
11,"TMC5"
11,"CFB"
11,"KLF5"
11,"MUC5B"
11,"TC2N"
11,"BAIAP2L1"
12,"KIT"
12,"MS4A2"
12,"IL1RL1"
12,"SLC18A2"
12,"PTGS1"
12,"HPGDS"
12,"AREG"
12,"P2RX1"
12,"FCER1A"
12,"CLEC12A"
