"group","names"
0,"MS4A1"
0,"FCMR"
0,"TNFRSF13C"
0,"BANK1"
0,"SELL"
0,"IRF8"
0,"CD19"
0,"CD79A"
0,"ADAM28"
0,"POU2AF1"
1,"CD2"
1,"CD3E"
1,"IL7R"
1,"CD3D"
1,"STAT4"
1,"FCMR"
1,"CD28"
1,"CTLA4"
1,"CD247"
1,"LCK"
2,"MZB1"
2,"SEC11C"
2,"PIM2"
2,"POU2AF1"
2,"CD79A"
2,"DNAJB9"
2,"CD38"
2,"FKBP11"
2,"TNFRSF17"
2,"CD27"
3,"LTBP2"
3,"FBN1"
3,"THBS2"
3,"PDGFRA"
3,"SVEP1"
3,"COL5A2"
3,"SLIT3"
3,"COL8A1"
3,"PDGFRB"
3,"SERPINA3"
4,"VWF"
4,"PLVAP"
4,"ACKR1"
4,"SHANK3"
4,"ECSCR"
4,"APOLD1"
4,"ADGRL4"
4,"SELP"
4,"GNG11"
4,"MMRN1"
5,"AGER"
5,"FCN3"
5,"SHANK3"
5,"TMEM100"
5,"GNG11"
5,"VWF"
5,"IL7R"
5,"SEMA3B"
5,"IL1RL1"
5,"SCEL"
6,"AIF1"
6,"CD68"
6,"FCGR3A"
6,"MS4A4A"
6,"CD163"
6,"HAVCR2"
6,"CD14"
6,"FCGR1A"
6,"MPEG1"
6,"VSIG4"
7,"MS4A2"
7,"KIT"
7,"SLC18A2"
7,"IL1RL1"
7,"HPGDS"
7,"PTGS1"
7,"AREG"
7,"P2RX1"
7,"LTBP2"
7,"FCER1A"
8,"EPCAM"
8,"CDH1"
8,"APOD"
8,"MALL"
8,"ATP1B1"
8,"EGFR"
8,"MUC1"
8,"TSPAN8"
8,"SFTA2"
8,"FABP3"
9,"AGR3"
9,"EPCAM"
9,"LGALS3BP"
9,"MUC1"
9,"CDH1"
9,"TMPRSS2"
9,"CP"
9,"CTTN"
9,"CD24"
9,"ICA1"
10,"EHF"
10,"F3"
10,"ELF3"
10,"TMC5"
10,"CD24"
10,"MUC5B"
10,"CFB"
10,"SOX2"
10,"KLF5"
10,"TC2N"
11,"SFTPD"
11,"DMBT1"
11,"PEBP4"
11,"F3"
11,"STEAP4"
11,"AREG"
11,"MUC1"
11,"HMGCS1"
11,"ETV5"
11,"MALL"
12,"MYH11"
12,"CNN1"
12,"DES"
12,"PLN"
12,"ADAMTS1"
12,"LMOD1"
12,"CSPG4"
12,"DGKG"
12,"HIF1A"
12,"PDGFRB"
