"cluster","gene"
"1","CD2"
"1","CD3E"
"1","IL7R"
"1","CD3D"
"1","FCMR"
"1","STAT4"
"1","CTLA4"
"1","CD28"
"1","CD247"
"1","LCK"
"2","TMPRSS2"
"2","CDH1"
"2","MUC1"
"2","EPCAM"
"2","AGR3"
"2","LGALS3BP"
"2","CD24"
"2","ATP1B1"
"2","EGFR"
"2","TACSTD2"
"3","SHANK3"
"3","VWF"
"3","ECSCR"
"3","GNG11"
"3","FCN3"
"3","TMEM100"
"3","CD34"
"3","APOLD1"
"3","ADGRL4"
"3","ACE"
"4","AIF1"
"4","CD68"
"4","FCGR3A"
"4","MS4A4A"
"4","CD163"
"4","HAVCR2"
"4","CD14"
"4","CD4"
"4","MPEG1"
"4","GPR183"
"5","LTBP2"
"5","SVEP1"
"5","FBN1"
"5","PDGFRA"
"5","SLIT3"
"5","THBS2"
"5","COL5A2"
"5","PDGFRB"
"5","NID1"
"5","SERPINA3"
"6","MYH11"
"6","CNN1"
"6","DES"
"6","PLN"
"6","ADAMTS1"
"6","LMOD1"
"6","CSPG4"
"6","DGKG"
"6","PDGFRB"
"6","LGR6"
"7","EHF"
"7","ELF3"
"7","F3"
"7","TMC5"
"7","MUC5B"
"7","CD24"
"7","CFB"
"7","CP"
"7","FOXJ1"
"7","KLF5"
"8","MS4A1"
"8","TNFRSF13C"
"8","BANK1"
"8","FCMR"
"8","IRF8"
"8","CD19"
"8","CD79A"
"8","SELL"
"8","ADAM28"
"8","POU2AF1"
"9","SFTPD"
"9","DMBT1"
"9","PEBP4"
"9","STEAP4"
"9","F3"
"9","MUC1"
"9","MALL"
"9","AREG"
"9","HMGCS1"
"9","FASN"
"10","MZB1"
"10","POU2AF1"
"10","PIM2"
"10","CD79A"
"10","CD38"
"10","SEC11C"
"10","FKBP11"
"10","DNAJB9"
"10","TNFRSF17"
"10","GLCCI1"
"11","AGER"
"11","SCEL"
"11","SEMA3B"
"11","DAPK2"
"11","KRT7"
"11","WFS1"
"11","PEBP4"
"11","ELF3"
"11","F3"
"11","TACSTD2"
"12","MS4A2"
"12","KIT"
"12","SLC18A2"
"12","IL1RL1"
"12","HPGDS"
"12","PTGS1"
"12","P2RX1"
"12","AREG"
"12","FCER1A"
"12","CLEC12A"
"13","MMRN1"
"13","PROX1"
"13","ECSCR"
"13","APOLD1"
"13","GNG11"
"13","PDPN"
"13","SHANK3"
"13","LYVE1"
"13","FSCN1"
"13","MTUS1"
